molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL348716,c1ccc2nn(Nc3ccncc3)cc2c1,20000.0,inactive
CHEMBL333667,O=C(Cc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,399.0,active
CHEMBL346021,c1ccc2c(c1)ccn2Cc1ccncc1,20000.0,inactive
CHEMBL435034,CCCN(c1ccncc1)n1c2ccccc2c2ccccc21.O=C(O)/C=C/C(=O)O,2400.0,intermediate
CHEMBL155359,O=C(O)/C=C/C(=O)O.c1ccc2c(c1)cnn2Nc1ccncc1,17000.0,inactive
CHEMBL122452,CN(CCCN(C)CCc1ccccc1)CCOC(c1ccccc1)c1ccccc1,210.0,active
CHEMBL2112594,O=C(CCc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,205.0,active
CHEMBL154945,CCCN(c1ccncc1)n1c(C)cc2ccccc21,1100.0,intermediate
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,230.0,active
CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2,20000.0,inactive
CHEMBL155603,CCCN(c1ccncc1)n1cc(C=O)c2ccccc21,2200.0,intermediate
CHEMBL121027,CN(CCOC(c1ccccc1)c1ccccc1)CCN(C)CCc1ccc(F)cc1,279.0,active
CHEMBL29835,CCCN(c1ccncc1)n1ccc2ccccc21,430.0,active
CHEMBL350692,CCCN(c1ccncc1)n1cc(C)c2ccccc21,1300.0,intermediate
CHEMBL155460,CCCN(c1ccncc1)n1ccc2cc(Cl)ccc21,1900.0,intermediate
CHEMBL134,Clc1cccc(Cl)c1NC1=NCCN1,20000.0,inactive
CHEMBL356922,O=[N+]([O-])c1ccc2c(ccn2Nc2ccncc2)c1,9900.0,intermediate
CHEMBL157971,CCCN(c1ccncc1)n1cccn1.O=C(O)/C=C/C(=O)O,20000.0,inactive
CHEMBL347933,CCCN(c1[nH]cnc2ncnc1-2)n1ccc2ccccc21,12000.0,inactive
CHEMBL121460,CN(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)CCN(C)CCOC(c1ccc(F)cc1)c1ccc(F)cc1,2600.0,intermediate
CHEMBL123830,O=C(Cc1ccc(F)cc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,299.0,active
CHEMBL124222,O=C1CN(CCOC(c2ccccc2)c2ccccc2)CCN1CCCc1ccccc1,10.0,active
CHEMBL357553,Clc1ccc2c(ccn2Nc2ccncc2)c1,20000.0,inactive
CHEMBL347336,C=CCN(c1ccncc1)n1ccc2ccccc21,6200.0,intermediate
CHEMBL155211,CCCN(c1ccncc1)n1ccc2cc(OC)ccc21,570.0,active
CHEMBL154297,Cc1cc2ccccc2n1Nc1ccncc1,3600.0,intermediate
CHEMBL345442,CCCN(c1ccncc1)n1cc(C#N)c2ccccc21,750.0,active
CHEMBL345607,O=C(O)/C=C/C(=O)O.c1ccc2c(c1)c1ccccc1n2Nc1ccncc1,1400.0,intermediate
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,20000.0,inactive
CHEMBL2112595,O=C(CCc1ccc(Br)cc1)N/C=C/NCCOC(c1ccc(F)cc1)c1ccc(F)cc1,10.0,active
CHEMBL432727,CN1C2CCC1C(C(=O)NCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,1846.0,intermediate
CHEMBL407803,CN1C2CCC1C(C(=O)NCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,2258.0,intermediate
CHEMBL307314,CN1C2CCC1C(C(=O)NCCCCCCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,487.0,active
CHEMBL303266,CN1C2CCC1C(C(=O)NCCCNC(=O)C1C(c3ccc(Cl)cc3)CC3CCC1N3C)C(c1ccc(Cl)cc1)C2,266.0,active
