molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,active,291.347,1.8370999999999997,2.0,5.0,6.761953896871205
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,active,344.7980000000002,2.4964000000000004,1.0,5.0,9.207608310501746
CHEMBL417049,CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,active,442.6470000000004,5.821600000000007,0.0,3.0,6.698970004336019
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,414.59300000000013,5.0430000000000055,0.0,3.0,6.782516055786093
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.632644078973981
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,active,302.73600000000005,2.7483000000000013,1.0,3.0,8.301029995663981
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,active,284.74600000000004,2.6092000000000004,1.0,3.0,8.309803919971486
CHEMBL67024,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,432.58300000000014,5.228400000000006,1.0,3.0,6.769551078621726
CHEMBL130668,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,active,280.32699999999994,2.0515,2.0,4.0,8.721246399047171
CHEMBL443797,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,active,442.6470000000001,5.821600000000006,0.0,3.0,6.7447274948966935
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.638272163982407
CHEMBL421867,c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,428.6200000000001,5.479400000000005,1.0,3.0,6.638272163982407
